date,pm25,pm10
2023-03-08,31.0,27.0
2023-03-09,26.0,42.0
2023-03-10,40.0,32.0
2023-03-11,31.0,29.0
2023-03-12,32.0,33.0
2023-03-13,40.0,32.0
2023-03-14,39.0,30.0
2023-03-15,31.0,19.0
2023-03-16,20.0,20.0
2023-03-17,22.0,21.0
2023-03-18,22.0,15.0
2023-03-19,18.0,21.5
2023-03-20,24.5,28.0
2023-03-21,31.0,38.0
2023-03-22,49.0,42.0
2023-03-23,54.0,37.0
2023-03-24,44.0,33.0
2023-03-25,41.0,28.0
2023-03-26,35.0,15.0
2023-03-27,15.0,11.0
2023-03-28,10.0,18.0
2023-03-29,20.0,22.0
2023-03-30,22.0,23.0
2023-03-31,30.0,24.666666666666668
2023-04-01,29.666666666666668,26.333333333333332
2023-04-02,29.333333333333332,28.0
2023-04-03,29.0,31.0
2023-04-04,32.0,38.0
2023-04-05,41.0,37.0
2023-04-06,37.0,23.0
2023-04-07,24.0,9.0
2023-04-08,8.0,15.0
2023-04-09,15.0,36.0
2023-04-10,39.0,42.0
2023-04-11,51.0,36.0
2023-04-12,44.0,27.0
2023-04-13,33.0,34.0
2023-04-14,39.0,37.0
2023-04-15,48.0,24.0
2023-04-16,33.0,39.0
2023-04-17,54.0,42.0
2023-04-18,52.0,50.0
2023-04-19,65.0,52.0
2023-04-20,67.0,55.0
2023-04-21,79.0,43.333333333333336
2023-04-22,60.0,31.666666666666668
2023-04-23,41.0,20.0
2023-04-24,22.0,16.0
2023-04-25,19.0,22.0
2023-04-26,25.0,20.0
2023-04-27,21.0,26.0
2023-04-28,28.0,28.0
2023-04-29,33.0,19.0
2023-04-30,22.0,22.0
2023-05-01,19.0,21.0
2023-05-02,23.0,21.0
2023-05-03,23.0,25.0
2023-05-04,26.0,30.0
2023-05-05,30.0,34.0
2023-05-06,36.0,38.0
2023-05-07,46.0,19.0
2023-05-08,18.0,20.0
2023-05-09,20.0,18.0
2023-05-10,17.0,24.0
2023-05-11,22.0,10.0
2023-05-12,8.0,11.0
2023-05-13,9.0,12.0
2023-05-14,11.0,14.0
2023-05-15,14.0,22.0
2023-05-16,15.0,33.0
2023-05-17,29.0,39.0
2023-05-18,42.0,44.0
2023-05-19,45.0,38.0
2023-05-20,39.0,27.0
2023-05-21,25.0,29.0
2023-05-22,27.0,28.0
2023-05-23,22.0,27.0
2023-05-24,18.0,24.0
2023-05-25,14.0,22.0
2023-05-26,14.0,18.0
2023-05-27,13.0,9.0
2023-05-28,9.0,11.0
2023-05-29,10.0,15.0
2023-05-30,12.0,21.0
2023-05-31,16.0,22.0
2023-06-01,12.0,18.0
2023-06-02,11.0,28.0
