date,pm25,pm10,co,so2,no2,o3
2024-11-30,17.5,63.0,0.0,0.7,28.62,8.4
2024-12-01,20.5,62.0,0.0,0.7,18.89,13.2
2024-12-02,21.3,59.0,0.0,0.7,23.22,7.8
2024-12-03,13.02,45.65,0.0,0.7,21.06,6.0
2024-12-04,12.71,51.7,0.0,0.7,19.98,6.0
2024-12-05,7.75,38.5,0.0,0.7,16.2,8.4
2024-12-06,9.92,47.3,0.0,0.7,19.44,4.8
2024-12-07,17.1,53.35,0.0,0.7,21.6,10.2
2024-12-08,20.7,59.0,0.0,0.7,20.52,19.2
2024-12-09,11.78,36.85,0.0,0.7,24.84,12.6
2024-12-10,13.18,54.45,0.0,0.7,28.08,7.2
2024-12-11,6.98,19.8,0.0,0.7,24.3,8.4
2024-12-12,8.99,31.35,0.0,0.7,25.38,10.2
2024-12-13,6.98,24.2,0.0,0.7,15.12,16.8
2024-12-14,12.71,34.1,0.0,0.7,15.12,15.0
2024-12-15,12.25,27.5,0.0,0.7,18.36,16.2
2024-12-16,13.33,42.9,0.0,0.7,33.47,7.2
2024-12-17,15.9,54.35,0.0,0.7,25.92,8.4
2024-12-18,14.11,50.05,0.0,0.7,28.08,22.8
2024-12-19,19.89,53.9,0.0,0.7,30.24,25.2
2024-12-20,21.5,48.95,0.0,0.7,29.7,22.8
2024-12-21,24.5,67.0,0.0,0.7,35.1,17.4
2024-12-22,16.3,65.0,0.0,0.7,25.92,16.8
2024-12-23,13.8,31.35,0.0,0.7,28.08,11.4
2024-12-24,10.39,26.95,0.0,0.7,30.78,9.6
2024-12-25,11.78,31.9,0.0,0.7,30.78,8.4
2024-12-26,8.36,35.2,0.0,0.7,26.46,13.8
2024-12-27,12.4,32.45,0.0,0.7,31.32,7.2
2024-12-28,19.5,35.2,0.0,0.7,20.52,17.4
2024-12-29,11.01,31.35,0.0,0.7,24.3,7.2
2024-12-30,17.7,54.45,0.0,0.7,24.84,16.8
2024-12-31,17.9,51.7,0.0,0.7,22.14,10.8
2025-01-01,38.5,75.0,0.0,0.7,27.0,18.0
2025-01-02,25.5,55.0,0.0,0.7,23.76,17.4
2025-01-03,23.9,49.5,0.0,0.7,30.24,12.0
2025-01-04,28.7,83.0,0.0,0.7,29.16,13.2
2025-01-05,32.3,79.0,0.0,0.7,25.92,22.8
2025-01-06,31.120909090909088,76.30909090909091,0.0,0.7,25.281818181818185,22.363636363636363
2025-01-07,29.941818181818178,73.61818181818182,0.0,0.7,24.643636363636364,21.92727272727273
